Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
redcapid,register_interview_child_psychiatric,,text,"RedCAP ID (Famid-Indid-Rhinf)

Enter as NNNN-NNN-NNN ",,,,,,,,y,,,,,
famid,register_interview_child_psychiatric,,text,Family ID,,,number,1000,9999,,,y,,,,,
indid,register_interview_child_psychiatric,,text,Individual ID,,,number,1,999,,,y,,,,,
rhinf,register_interview_child_psychiatric,,text,Informant ID,,,number,1,999,,,y,,,,,
studyid_calc,register_interview_child_psychiatric,,calc,Study ID (Calculated),([famid]*1000+[indid]),,,,,,,,,,,,
dcscr001a,register_interview_child_psychiatric,,radio,Informant Type,"1, Child | 2, Parent",,,,,,,y,RH,,,,
dcscr002a,register_interview_child_psychiatric,,text,Interview Date,,,date_mdy,,,,,,RH,,,,
dcscr003a,register_interview_child_psychiatric,,dropdown,Interviewer,"35, Unknown (XXX) | 44, Other | 1, Amanda Kalaydjian (AEK) | 2, Amber Knot (AEK) | 43, Anna Van Meter (AVM) | 3, April Szilagi (AMS) | 4, Barbara Usher (BAU) | 49, Beth Foote (BMF) | 5, Brian Smith (BAS) | 6, Cathy Roca (CAR) | 7, Christina Beccue (CAB) | 37, Claudia Choque (CXC) | 50, Diana Lopez (DXL) | 8, Diane Lameira (DML) | 46, Emma Stapp (EKS) | 9, Erin Knight (EFK) | 10, Francesca Belouad (FKB) | 11, Jihui Zhang (JZ) | 12, John Eun (JDE) | 13, Judith Mulvihill (JEM) | 45, Kailyn Witonsky (KFW) | 14, Karen Amer (KGA) | 15, Kathy O'Leary (KOL) | 16, Kelly Murphy (KLM) | 17, Kristin Keefe (KEK) | 38, Lara Baez (LMB) | 18, Leanne Heaton (LLH) | 19, Lisa Misra (LBM) | 36, Martina Lavrisha (MML) | 20, Marcy Burstein (MEB) | 48, Mary Ellen Cadman (MEC) | 42, Megan Tsui (MTT) | 40, Mike Xiao (MXX) | 21, Mitch Kling (MAK) | 22, Nancy Low (NCL) | 23, Nicole Jameson (NDJ) | 39, Rachel Walsh (RFW) | 41, Rebecca Hommer (RXH) | 24, Richard Herrell (RKH) | 25, Roman Duncko (RAD) | 26, Shannon Winter (SNW) | 27, Srirangam Shreeram (SSS) | 28, Sue Goo (SJG) | 29, Suzan Khoromi (SFK) | 30, Suzanne McGarity (SKM) | 31, Taryn Miller (TBM) | 32, Tarannum Lateef (TML) | 33, Vetisha McClair (VLM) | 34, Wendell Wu (WWW)",,,,,,,y,RH,,,,
dcscr004a,register_interview_child_psychiatric,,dropdown,Co-rater 1,"35, Unknown (XXX) | 44, Other | 1, Amanda Kalaydjian (AEK) | 2, Amber Knot (AEK) | 43, Anna Van Meter (AVM) | 3, April Szilagi (AMS) | 4, Barbara Usher (BAU) | 49, Beth Foote (BMF) | 5, Brian Smith (BAS) | 6, Cathy Roca (CAR) | 7, Christina Beccue (CAB) | 37, Claudia Choque (CXC) | 50, Diana Lopez (DXL) | 8, Diane Lameira (DML) | 46, Emma Stapp (EKS) | 9, Erin Knight (EFK) | 10, Francesca Belouad (FKB) | 11, Jihui Zhang (JZ) | 12, John Eun (JDE) | 13, Judith Mulvihill (JEM) | 45, Kailyn Witonsky (KFW) | 14, Karen Amer (KGA) | 15, Kathy O'Leary (KOL) | 16, Kelly Murphy (KLM) | 17, Kristin Keefe (KEK) | 38, Lara Baez (LMB) | 18, Leanne Heaton (LLH) | 19, Lisa Misra (LBM) | 36, Martina Lavrisha (MML) | 20, Marcy Burstein (MEB) | 48, Mary Ellen Cadman (MEC) | 42, Megan Tsui (MTT) | 40, Mike Xiao (MXX) | 21, Mitch Kling (MAK) | 22, Nancy Low (NCL) | 23, Nicole Jameson (NDJ) | 39, Rachel Walsh (RFW) | 41, Rebecca Hommer (RXH) | 24, Richard Herrell (RKH) | 25, Roman Duncko (RAD) | 26, Shannon Winter (SNW) | 27, Srirangam Shreeram (SSS) | 28, Sue Goo (SJG) | 29, Suzan Khoromi (SFK) | 30, Suzanne McGarity (SKM) | 31, Taryn Miller (TBM) | 32, Tarannum Lateef (TML) | 33, Vetisha McClair (VLM) | 34, Wendell Wu (WWW)",,,,,,,,RH,,,,
dcscr004b,register_interview_child_psychiatric,,dropdown,Co-rater 2,"35, Unknown (XXX) | 44, Other | 1, Amanda Kalaydjian (AEK) | 2, Amber Knot (AEK) | 43, Anna Van Meter (AVM) | 3, April Szilagi (AMS) | 4, Barbara Usher (BAU) | 49, Beth Foote (BMF) | 5, Brian Smith (BAS) | 6, Cathy Roca (CAR) | 7, Christina Beccue (CAB) | 37, Claudia Choque (CXC) | 50, Diana Lopez (DXL) | 8, Diane Lameira (DML) | 46, Emma Stapp (EKS) | 9, Erin Knight (EFK) | 10, Francesca Belouad (FKB) | 11, Jihui Zhang (JZ) | 12, John Eun (JDE) | 13, Judith Mulvihill (JEM) | 45, Kailyn Witonsky (KFW) | 14, Karen Amer (KGA) | 15, Kathy O'Leary (KOL) | 16, Kelly Murphy (KLM) | 17, Kristin Keefe (KEK) | 38, Lara Baez (LMB) | 18, Leanne Heaton (LLH) | 19, Lisa Misra (LBM) | 36, Martina Lavrisha (MML) | 20, Marcy Burstein (MEB) | 48, Mary Ellen Cadman (MEC) | 42, Megan Tsui (MTT) | 40, Mike Xiao (MXX) | 21, Mitch Kling (MAK) | 22, Nancy Low (NCL) | 23, Nicole Jameson (NDJ) | 39, Rachel Walsh (RFW) | 41, Rebecca Hommer (RXH) | 24, Richard Herrell (RKH) | 25, Roman Duncko (RAD) | 26, Shannon Winter (SNW) | 27, Srirangam Shreeram (SSS) | 28, Sue Goo (SJG) | 29, Suzan Khoromi (SFK) | 30, Suzanne McGarity (SKM) | 31, Taryn Miller (TBM) | 32, Tarannum Lateef (TML) | 33, Vetisha McClair (VLM) | 34, Wendell Wu (WWW)",,,,,,,,RH,,,,
dcscr004c,register_interview_child_psychiatric,,text,Duration of Interview,,MINUTES,number,,,,,,RH,,,,
entry,register_interview_child_psychiatric,,dropdown,Entry,"26, Unknown | 33, Other | 37, Alyssa McGraw | 42, Amanda Riddle | 32, Anna Van Meter | 40, Beth Foote | 2, Brian Smith | 3, Brooke Sheppard | 1, Claudia Choque | 6, Cortlyn Brown | 41, Diana Lopez | 8, Diana Paksarian | 7, Diane Lameira | 38, Emily Yuen | 36, Emma Stapp | 9, Erin Nakamura | 10, Francesca Belouad | 13, Jaclyn Dozier Franco | 14, Jennifer Glaus | 11, John Eun | 12, Joshua Lucksom | 15, Lihong Cui | 35, Kailyn Witonsky | 17, Kathleen Merikangas | 16, Kathy O'Leary | 43, Kimya Shirazi | 19, Lara Baez | 18, Lisa Misra | 34, Maggie Lin | 4, Martina Lavrisha | 39, Mary Ellen Cadman | 20, Matt Takahashi | 31, Megan Tsui | 29, Michelle Tutmaher | 5, Mike Xiao | 21, Nicole Jameson | 22, Rachel Walsh | 30, Rebecca Hommer | 27, Sara Zahir | 23, Sue Goo | 24, Tarannum Lateef | 25, Victoria Flagg | 44, Wei Guo",,autocomplete,,,,,y,,,,,
comp_only,register_interview_child_psychiatric,,radio,Computerized version only,"0, No | 1, Yes",,,,,,,y,RH,,,,
dctlo005,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> TIMELINE</div> 
",text,What is your birthday?,,,date_mdy,,,,,,,,,,
dctlo008,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> TIMELINE</div> 
",dropdown,"So, how old are you?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,,,,,,,,,,
dctlo009,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> TIMELINE</div> 
",dropdown,What is your grade in school? (or last completed grade),"100, Pre-K | 0, Kindergarten | 1, 1st | 2, 2nd | 3, 3rd | 4, 4th | 5, 5th | 6, 6th | 7, 7th | 8, 8th | 9, 9th | 10, 10th | 11, 11th | 12, 12th | 13, College Freshman | 14, College Sophomore | 15, College Junior | 16, College Senior | 997, 997 | 998, 998 | 999, 999",GRADE,autocomplete,1,12,,,,,,,,
dctlo010,timeline,"<div style=""color: blue;background-color: #ffffdd; "">Now I'd like to learn more about you (your child), where you live, your school, your family and your friends.</div>
<div style=""font-size: 12pt; text-decoration: underline;background-color: #ffffdd;""> HOME</div>",notes,Where did you first live when you were growing up?,,,,,,,,,LH,,,,
dctlo011,timeline,"<div style=""color: blue;background-color: #ffffdd; "">Now I'd like to learn more about you (your child), where you live, your school, your family and your friends.</div>
<div style=""font-size: 12pt; text-decoration: underline;background-color: #ffffdd;""> HOME</div>",notes,"Who did you live with there?  (mother, father, siblings, extended family, other)",,,,,,,,,LH,,,,
dctlo012,timeline,"<div style=""color: blue;background-color: #ffffdd; "">Now I'd like to learn more about you (your child), where you live, your school, your family and your friends.</div>
<div style=""font-size: 12pt; text-decoration: underline;background-color: #ffffdd;""> HOME</div>",notes,1. Any moves?,,,,,,,,,LH,,,,
dctlo013,timeline,"<div style=""color: blue;background-color: #ffffdd; "">Now I'd like to learn more about you (your child), where you live, your school, your family and your friends.</div>
<div style=""font-size: 12pt; text-decoration: underline;background-color: #ffffdd;""> HOME</div>",notes,2. Parental marriage/separation/divorce,,,,,,,,,LH,,,,
dctlo014,timeline,"<div style=""color: blue;background-color: #ffffdd; "">Now I'd like to learn more about you (your child), where you live, your school, your family and your friends.</div>
<div style=""font-size: 12pt; text-decoration: underline;background-color: #ffffdd;""> HOME</div>",notes,3. Do you have any brothers and/or sisters? Are they older or younger? Do they live with you?,,,,,,,,,LH,,,,
dctlo015,timeline,"<div style=""color: blue;background-color: #ffffdd; "">Now I'd like to learn more about you (your child), where you live, your school, your family and your friends.</div>
<div style=""font-size: 12pt; text-decoration: underline;background-color: #ffffdd;""> HOME</div>",notes,4. How well do you get a long with your parents and siblings?  Do you do things together?,,,,,,,,,LH,,,,
dctlo016,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL </div>",notes,1. When did your last school year begin? When did it end? When did summer break begin?  ,,,,,,,,,LH,,,,
dctlo017,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL </div>",notes,"2.  Changing schools (grade school to junior high to high school to moves)
",,,,,,,,,LH,,,,
dctlo018,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL </div>",notes,3. Did you ever have problems with your grades in school? Get into trouble for your behavior at school? ,,,,,,,,,LH,,,,
dctlo019,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL </div>",notes,"4. Do you (your child) have an Individualized Educational Plan (IEP)? If yes, what is the reason? Learning and/or emotional problems? Describe:
",,,,,,,,,LH,,,,
dctlo020,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> PEERS</div>",notes,1. Do you have friends in school? ,,,,,,,,,LH,,,,
dctlo021,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> PEERS</div>",notes,2. How often do you see them outside of school?,,,,,,,,,LH,,,,
dctlo022,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> PEERS</div>",notes,3. Do you have friends in other places (e.g. neighborhoods and/or clubs)?,,,,,,,,,LH,,,,
dctlo023,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> PEERS</div>",notes,4. Do you have problems making/keeping friends?,,,,,,,,,LH,,,,
dctlo024,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> PEERS</div>",notes,5. Do you often fight/argue with friends?,,,,,,,,,LH,,,,
dctlo025,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> PEERS</div>",notes,6. Do you get into trouble with friends?,,,,,,,,,LH,,,,
dctlo026,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SIGNIFICANT EVENTS</div>",notes,"Are there any other things that happened in your life that stand out for you as very important? Things that may have happened to you like memorable vacations, team sports, your friends, your family? (positive or negative)",,,,,,,,,LH,,,,
ctlo0,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL FUNCTIONING</div><div style="" color: blue;  width: 100%; background-color: #ffffdd;"">The next questions refer to the current school year (when on summer break refer to the past school year).</div>",radio,Is child out of high school?,"0, No | 1, Yes",,,,,,,,RH,,,,
dctlo027,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL FUNCTIONING</div><div style="" color: blue;  width: 100%; background-color: #ffffdd;"">The next questions refer to the current school year (when on summer break refer to the past school year).</div>",dropdown,Date at beginning of school year (Month),"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 97, 97 | 98, 98 | 99, 99",MONTH,autocomplete,,,,,,,,,,
dctlo028,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> SCHOOL FUNCTIONING</div><div style="" color: blue;  width: 100%; background-color: #ffffdd;"">The next questions refer to the current school year (when on summer break refer to the past school year).</div>",text,Date at beginning of school year (Year),,YEAR,number,1900,9999,,,,,,,,
dctlo031,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,Reading/English,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,,,,,,,,dctlo031,,
dctlo032,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,Arithmetic/Math,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,,,,,,,,dctlo031,,
dctlo33,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",text,Other subject 1,,OTHER SUBJECT 1,,,,,,,,,,,
dctlo34,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,Other subject 1,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,,,,,,LH,,,,
dctlo35,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",text,Other subject 2,,OTHER SUBJECT 2,,,,,,,,,,,
dctlo36,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,Other subject 2,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,,,,,,LH,,,,
dctlo37,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",text,Other subject 3,,OTHER SUBJECT 3,,,,,,,,,,,
dctlo38,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,Other subject 3,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,,,,,,LH,,,,
dctlo039,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,"Are there different reading and arithmetic groups in your class at school? Which group are you in? Review ratings (specify academic ""track"" or group). If discrepancies exist, make notes but code for highest achievement.","1, Above average | 2, Average | 3, Below average | 4, Far below average | 9, Not applicable",,,,,,,,LH,,,,
dctlo040,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,"During the school year, how much TV do you usually watch every week? After school? After dinner? On Saturday or Sunday?","1, 7 or fewer hours per week | 2, 8-14 hours per week | 3, 15-21 hours per week | 4, 22-35 hours per week | 5, Greater than 35 hours per week | 9, Unk",,,,,,,,,,dctlo040,,
dctlo041,timeline,"<div style=""color: blue;background-color: #ffffdd; "">
How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. </div>",radio,How much time do you spend playing video/computer games every week? After school? After dinner? On Saturday or Sunday?,"1, 7 or fewer hours per week | 2, 8-14 hours per week | 3, 15-21 hours per week | 4, 22-35 hours per week | 5, Greater than 35 hours per week | 9, Unk",,,,,,,,,,dctlo040,,
dctlo042,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Does (child's name) have any serious problems?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo043,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,At home?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo044,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,At school?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo045,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,With friends?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo046,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Would you say that (child's name) has a good sense of humor?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo047,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Would you say that (child's name) has personality traits that cause problems for him/her?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo048,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Is your child nervous or fearful?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo049,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Would you describe him/her as shy?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo050,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,What about his/her moods?  Is he/she moody?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo051,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Does he/she have a bad temper?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo052,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> GENERAL CHARACTERISTICS OF CHILD</div>

<div style=""font-size: 12pt; text-decoration: underline;""> PARENT ABOUT CHILD</div>",radio,Is he/she sensitive to the feelings of others? Too sensitive?(rate on this one),"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo042,,
dctlo053,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,"What do you enjoy most? (e.g. hobbies, sports, clubs, etc.)",,,,,,,,,LH,,,,
dctlo054,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,Is there anything that makes you afraid?,,,,,,,,,LH,,,,
dctlo055,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,Are you nervous a lot?,,,,,,,,,LH,,,,
dctlo056,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,"Do you mostly like to be with other kids, or by yourself?",,,,,,,,,LH,,,,
dctlo057,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,How would you describe yourself?,,,,,,,,,LH,,,,
dctlo058,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,Have you had any problems with your family or your friends?,,,,,,,,,LH,,,,
dctlo059,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,Have you had any serious problems? ,,,,,,,,,LH,,,,
dctlo060,timeline,"<div style=""font-size: 12pt; text-decoration: underline;""> CHILD ABOUT SELF</div>",notes,Notes,,,,,,,,,LH,,,,
dctlo061,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS</div>

<div style=""font-size: 12pt; text-decoration: underline;""> SUGGEST PROBES</div>",radio,"Have you ever had problems with your feelings, nerves, or mood?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo061,,
dctlo062,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS</div>

<div style=""font-size: 12pt; text-decoration: underline;""> SUGGEST PROBES</div>",radio,"What about problems with the way you act, things you do, or your behavior?","0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo061,,
dctlo063,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS</div>

<div style=""font-size: 12pt; text-decoration: underline;""> SUGGEST PROBES</div>",radio,Have you ever received help for these problems or thought that you needed help?,"0, No | 1, Yes | 9, Unk",,,,,,,,,,dctlo061,,
dctlo064,timeline,"<div style=""font-size: 14pt; text-decoration: underline;""> OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS</div>

<div style=""font-size: 12pt; text-decoration: underline;""> SUGGEST PROBES</div>",notes,"<div style="" color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: If child/parent endorses treatment of any kind, identify the primary reason for treatment (ADHD, MDD, etc.) and code at the end of the appropriate section.</div>",,,,,,,,,LH,,,,
dcscr005,screener,,radio,"Have you ever talked to a counselor, psychologist, social worker, psychiatrist or some other professional about your feelings or problems with your mood or behaviors? Or are you currently taking medication because of your emotions and/or behaviors?","0, No | 1, Yes | 9, Unk",,,,,,,,LH,,,,
dcscr006,screener,,notes,Who was it and why did you speak to them?,,,,,,,[dcscr005] = '1',,LH,,,,
dcscr007,screener,,text,"How many separate times did you go to see someone?

<div style=""color: purple; font-style: italic; width: 100%; background-color: #ffffdd;"">INTERVIEWER: Clarify that these are distinct periods of outpatient services, not individual appointments.</div>",,TIMES,number,,,,,,,,,,
dcscr008,screener,,radio,How long did you see someone in total? ,"1, Less than 6 months | 2, 6 months to 2 years | 3, Over 2 years",,,,,,,,LH,,,,
dcscr009,screener,,text,About how many talk sessions did you have in total?,,NUMBER,number,,,,,,,,,,
